fq,lB,phase
0,5.0,Discrete
0,10.0,Discrete
0,15.0,Discrete
0,18.0,Discrete
0,20.0,Discrete
0,25.0,Discrete
0,28.0,Discrete
0,30.0,Discrete
0.05,5.0,Discrete
0.05,10.0,Discrete
0.05,15.0,Discrete
0.05,16.0,Discrete
0.05,20.0,Discrete
0.05,25.0,Discrete
0.05,28.0,Discrete
0.05,30.0,Discrete
0.1,5.0,Discrete
0.1,10.0,Discrete
0.1,15.0,Discrete
0.1,20.0,Discrete
0.1,25.0,Discrete
0.1,28.0,Percolated
0.1,30.0,Percolated
0.15,5.0,Discrete
0.15,10.0,Discrete
0.15,15.0,Discrete
0.15,20.0,Discrete
0.15,23.0,Percolated
0.15,25.0,Percolated
0.15,28.0,Percolated
0.15,30.0,Percolated
0.2,5.0,Discrete
0.2,10.0,Discrete
0.2,15.0,Discrete
0.2,18.0,Discrete
0.2,20.0,Percolated
0.2,23.0,Percolated
0.2,25.0,Percolated
0.2,28.0,Percolated
0.2,30.0,Percolated
0.25,5.0,Discrete
0.25,10.0,Discrete
0.25,15.0,Discrete
0.25,18.0,Percolated
0.25,20.0,Percolated
0.25,23.0,Percolated
0.25,25.0,Percolated
0.25,28.0,Percolated
0.25,30.0,Percolated
0.3,5.0,Discrete
0.3,10.0,Discrete
0.3,15.0,Discrete
0.3,16.0,Percolated
0.3,18.0,Percolated
0.3,20.0,Percolated
0.3,23.0,Percolated
0.3,25.0,Percolated
0.3,28.0,Percolated
0.3,30.0,Percolated

