fc,invT,phase
0.25,1.0,Disordered
0.25,1.5,Disordered
0.25,2.0,Lamellae
0.25,2.5,Lamellae
0.25,3.0,Nematic-lamellae
0.25,3.5,Nematic-lamellae
0.25,4.0,Nematic-lamellae
0.25,4.5,Nematic-lamellae
0.25,5.0,Nematic-lamellae
0.25,6.0,Bilayer-arrowhead
0.25,6.5,Bilayer-arrowhead
0.25,7.0,Bilayer-arrowhead
0.25,8.0,Bilayer-arrowhead
0.25,9.0,Bilayer-arrowhead
0.25,10.0,Bilayer-arrowhead
0.25,11.0,Bilayer-arrowhead
0.25,12.0,Bilayer-arrowhead
0.25,13.0,Bilayer-arrowhead
0.25,13.5,Bilayer-arrowhead
0.25,14.0,Bilayer-arrowhead
0.4,1.0,Disordered
0.4,2.0,Disordered
0.4,2.5,Lamellae
0.4,3.0,Lamellae
0.4,3.5,Nematic-lamellae
0.4,4.0,Nematic-lamellae
0.4,4.5,Nematic-lamellae
0.4,5.0,Nematic-lamellae
0.4,6.0,Nematic-lamellae
0.4,6.5,Nematic-lamellae
0.4,7.0,Nematic-lamellae
0.4,7.5,Bilayer-arrowhead
0.4,8.0,Bilayer-arrowhead
0.4,8.5,Bilayer-arrowhead
0.4,9.0,Bilayer-arrowhead
0.4,9.5,Bilayer-arrowhead
0.4,10.0,Bilayer-arrowhead
0.4,11.0,Bilayer-arrowhead
0.4,12.0,Bilayer-arrowhead
0.4,13.0,Bilayer-arrowhead
0.4,13.5,Bilayer-arrowhead
0.4,14.0,Bilayer-arrowhead
0.5,1.0,Disordered
0.5,1.5,Disordered
0.5,2.0,Lamellae
0.5,2.5,Lamellae
0.5,3.0,Lamellae
0.5,3.5,Lamellae
0.5,4.0,Lamellae
0.5,4.5,Nematic-lamellae
0.5,5.0,Nematic-lamellae
0.5,6.0,Nematic-lamellae
0.5,6.5,Nematic-lamellae
0.5,7.0,Hexatic
0.5,7.5,Hexatic
0.5,8.0,Hexatic
0.5,8.5,Hexatic
0.5,9.0,Hexatic
0.5,10.0,Hexatic
0.5,12.0,Hexatic
0.5,13.0,Hexatic
0.5,14.0,Hexatic
0.57,1.0,Disordered
0.57,2.0,Disordered
0.57,2.0,Lamellae
0.57,2.5,Lamellae
0.57,3.0,Lamellae
0.57,3.5,Lamellae
0.57,4.0,Lamellae
0.57,4.5,Lamellae
0.57,5.0,Nematic-lamellae
0.57,6.0,Nematic-lamellae
0.57,6.5,Nematic-lamellae
0.57,7.0,Nematic-lamellae
0.57,8.0,Nematic-lamellae
0.57,9.0,Nematic-lamellae
0.57,9.0,Nematic-lamellae
0.57,10.0,Nematic-lamellae
0.57,12.0,Nematic-lamellae
0.57,13.0,Nematic-lamellae
0.57,13.5,Nematic-lamellae
0.57,14.0,Nematic-lamellae
0.62,1.0,Disordered
0.62,2.0,Disordered
0.62,3.5,Lamellae
0.62,2.5,Lamellae
0.62,3.0,Lamellae
0.62,4.0,Lamellae
0.62,5.0,Lamellae
0.62,6.0,Lamellae
0.62,7.0,Lamellae
0.62,8.0,Lamellae
0.62,9.0,Lamellae
0.62,9.0,Lamellae
0.62,10.0,Lamellae
0.62,12.0,Lamellae
0.62,13.0,Lamellae
0.62,13.5,Lamellae
0.62,14.0,Lamellae
0.7,1.0,Disordered
0.7,2.5,Disordered
0.7,3.0,Disordered
0.7,4.0,Hexagonal-cylinder
0.7,5.0,Hexagonal-cylinder
0.7,6.0,Hexagonal-cylinder
0.7,7.0,Hexagonal-cylinder
0.7,8.0,Hexagonal-cylinder
0.7,9.0,Hexagonal-cylinder
0.7,10.0,Hexagonal-cylinder
0.7,11.0,Hexagonal-cylinder
0.7,12.0,Hexagonal-cylinder
0.7,13.0,Hexagonal-cylinder
0.7,13.5,Hexagonal-cylinder
0.7,14.0,Hexagonal-cylinder
0.75,2.5,Disordered
0.75,3.0,Disordered
0.75,3.2,Disordered
0.75,4.2,Hexagonal-cylinder
0.75,5.0,Hexagonal-cylinder
0.75,6.0,Hexagonal-cylinder
0.75,7.0,Hexagonal-cylinder
0.75,8.0,Hexagonal-cylinder
0.75,9.0,Hexagonal-cylinder
0.75,10.0,Hexagonal-cylinder
0.75,11.0,Hexagonal-cylinder
0.75,12.0,Hexagonal-cylinder
0.75,13.0,Hexagonal-cylinder
0.75,13.5,Hexagonal-cylinder
0.75,14.0,Hexagonal-cylinder
0.8,1.0,Disordered
0.8,2.5,Disordered
0.8,3.0,Disordered
0.8,3.5,Disordered
0.8,4.5,Hexagonal-cylinder
0.8,5.0,Hexagonal-cylinder
0.8,6.0,Hexagonal-cylinder
0.8,7.0,Hexagonal-cylinder
0.8,8.0,Hexagonal-cylinder
0.8,9.0,Hexagonal-cylinder
0.8,10.0,Hexagonal-cylinder
0.8,11.0,Hexagonal-cylinder
0.8,12.0,Hexagonal-cylinder
0.8,13.0,Hexagonal-cylinder
0.8,13.5,Hexagonal-cylinder
0.8,14.0,Hexagonal-cylinder


